,Unnamed: 0,id,speed,loss,mae,mape,me,difference
158,158,13.0,3.2,0.14938151836395264,0.14938151836395264,4.668172836303711,3.3102123737335205,-0.11021237373352033
12,12,1.0,3.7,0.1520209163427353,0.1520209163427353,4.108673572540283,3.779220342636109,-0.07922034263610822
125,125,10.0,4.2,0.15583810210227966,0.15583810210227966,3.7104315757751465,4.139286994934082,0.06071300506591815
37,37,3.0,3.2,0.1571984440088272,0.1571984440088272,4.91245174407959,3.357198476791382,-0.15719847679138166
165,165,13.0,5.5,0.1627238690853119,0.1627238690853119,2.958615779876709,5.490072727203369,0.00992727279663086
136,136,11.0,4.2,0.1640590876340866,0.1640590876340866,3.9061689376831055,4.3528337478637695,-0.15283374786376935
72,72,6.0,3.7,0.16455216705799106,0.16455216705799106,4.4473557472229,3.750270128250122,-0.050270128250121886
163,163,13.0,5.0,0.16533513367176056,0.16533513367176056,3.306702852249145,5.012107372283936,-0.012107372283935549
76,76,6.0,5.0,0.16637802124023438,0.16637802124023438,3.3275604248046875,4.982367992401123,0.017632007598876953
114,114,9.0,4.0,0.1684398204088211,0.1684398204088211,4.210995674133302,4.089613914489746,-0.0896139144897461
11,11,1.0,3.5,0.16930213570594788,0.16930213570594788,4.837203979492188,3.552933692932129,-0.052933692932128906
50,50,4.0,3.0,0.16989894211292267,0.16989894211292267,5.663299083709718,3.1698987483978267,-0.16989874839782715
60,60,5.0,3.5,0.17227798700332642,0.17227798700332642,4.9222283363342285,3.6082820892333984,-0.10828208923339844
120,120,9.0,5.7,0.1748719960451126,0.1748719960451126,3.0679302215576167,5.638591289520264,0.0614087104797365
14,14,1.0,4.2,0.17489653825759888,0.17489653825759888,4.164203643798828,4.025103569030762,0.17489643096923846
155,155,12.0,5.5,0.17667104303836825,0.17667104303836825,3.2122008800506587,5.349781036376953,0.15021896362304688
77,77,6.0,5.2,0.17902566492557526,0.17902566492557526,3.4428014755249023,5.299898624420166,-0.09989862442016584
159,159,13.0,3.5,0.1805291175842285,0.1805291175842285,5.157974720001222,3.339576005935669,0.16042399406433105
7,7,0.0,5.2,0.18098917603492734,0.18098917603492734,3.4805610179901123,5.3338470458984375,-0.13384704589843732
53,53,4.0,4.2,0.18258503079414368,0.18258503079414368,4.3472633361816415,4.0569777488708505,0.14302225112915054
80,80,6.0,6.0,0.1826705485582352,0.1826705485582352,3.044509172439575,5.944143295288086,0.05585670471191406
9,9,0.0,6.0,0.18319769203662872,0.18319769203662872,3.0532946586608887,6.0304107666015625,-0.0304107666015625
78,78,6.0,5.5,0.18323299288749692,0.18323299288749692,3.331509113311768,5.550886154174805,-0.05088615417480469
129,129,10.0,5.7,0.18371032178401947,0.18371032178401947,3.2229883670806885,5.79250955581665,-0.0925095558166502
137,137,11.0,4.5,0.1876458376646042,0.1876458376646042,4.169907093048097,4.408609390258789,0.09139060974121094
55,55,4.0,4.7,0.18808923661708832,0.18808923661708832,4.001898765563965,4.84075403213501,-0.1407540321350096
153,153,12.0,5.0,0.18909135460853574,0.18909135460853574,3.781827449798584,5.067744255065918,-0.06774425506591797
150,150,12.0,4.2,0.19128170609474185,0.19128170609474185,4.554327011108398,4.289107799530028,-0.08910779953002912
146,146,12.0,3.0,0.19148315489292145,0.19148315489292145,6.3827714920043945,3.19148325920105,-0.1914832592010498
44,44,3.0,5.2,0.19416797161102292,0.19416797161102292,3.7339997291564937,5.010956287384033,0.18904371261596695
161,161,13.0,4.2,0.19454778730869293,0.19454778730869293,4.632090091705322,4.330976963043213,-0.1309769630432127
73,73,6.0,4.0,0.19756267964839933,0.19756267964839933,4.939066886901856,3.904896259307861,0.09510374069213867
